Rk,Player,Pos,Age,Team,G,MP,,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add
216,Daniel Gafford,C-PF,25,TOT,74,1815,,,153,133,,133,86,126,149,,,171.3,167.9
217,Daniel Gafford,C,25,WAS,45,1192,,,146,127,,126,90,122,166,,,84.6,88.2
218,Daniel Gafford,PF,25,DAL,29,623,,,164,143,,143,77,133,123,,,86.7,79.7
219,Danilo Gallinari,PF-SF,35,TOT,49,630,,,92,100,88,94,109,104,211,124,,-11.7,9.6
220,Danilo Gallinari,PF,35,WAS,26,385,,,92,101,85,94,107,100,175,124,,-9.2,0.5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
221,Danilo Gallinari,SF,35,DET,6,90,,,115,92,160,129,112,138,447,138,,7,14.2
222,Danilo Gallinari,SF,35,MIL,17,155,,,80,101,48,77,113,90,199,116,,-9.4,-5.1
223,Darius Garland,PG,24,CLE,57,1901,,,94,92,101,96,106,97,85,107,,-37.3,-36.9
224,Usman Garuba,PF,21,GSW,6,18,,,35,37,,30,64,38,136,42,,-4.6,-5
225,Luka Garza,C,25,MIN,25,122,,,101,115,77,99,92,99,136,108,,-1,-0.8
226,Kaiser Gates,SF,27,NOP,1,7,,,,,,,,,,127,,-4.4,-4.6
227,Keyonte George,PG,20,UTA,75,2023,,,83,84,91,88,108,92,112,137,,-105.9,-85.2
228,Paul George,PF,33,LAC,74,2502,,,99,96,113,104,116,106,96,120,,56,88.7
229,Taj Gibson,C-PF,38,TOT,20,204,,,85,88,55,79,128,77,22,68,,-8.4,-9.9
230,Taj Gibson,PF,38,NYK,16,165,,,64,76,,56,128,58,36,66,,-11.1,-11.7
231,Taj Gibson,PF,38,DET,4,39,,,120,110,137,118,,111,,72,,2.7,1.8
232,Josh Giddey,SG,21,OKC,80,2011,,,100,97,92,96,103,94,60,73,,-39.8,-59.8
233,Harry Giles,C,25,TOT,23,100,,,97,102,59,90,69,87,106,71,,-5.7,-8.6
234,Harry Giles,C,25,BRK,16,81,,,105,106,75,98,69,94,121,63,,-1.1,-3.7
235,Harry Giles,C,25,LAL,7,19,,,35,61,,30,,29,,127,,-4.6,-5
236,Shai Gilgeous-Alexander,PG,25,OKC,75,2553,,,113,106,97,104,111,110,179,46,,61.6,197.9
237,Anthony Gill,PF,31,WAS,50,466,,,99,100,67,91,103,93,92,65,,-14.9,-15
238,Collin Gillespie,PG,24,DEN,24,225,,,98,101,108,105,85,101,71,139,,3.6,0.8
239,Jacob Gilyard,PG,25,TOT,41,699,,,84,69,111,104,128,99,5,213,,7,-2
240,Jacob Gilyard,PG,25,MEM,37,654,,,88,69,116,109,128,103,6,211,,13.6,4.9
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
241,Jacob Gilyard,PG,25,BRK,4,45,,,,,,,,,,253,,-6.6,-7
242,Rudy Gobert,C,31,MIN,76,2593,,,139,122,,121,81,116,260,1,,140.9,149.7
243,Jordan Goodwin,PG,25,TOT,57,1055,,,78,75,81,78,95,78,63,93,,-93.6,-105.2
244,Jordan Goodwin,PG,25,PHO,40,558,,,82,84,79,82,110,83,62,105,,-38,-40.7
245,Jordan Goodwin,PG,25,MEM,17,497,,,74,67,85,73,81,72,65,82,,-55.6,-64.5
246,Aaron Gordon,PF,28,DEN,73,2297,,,117,114,79,107,84,105,154,49,,53.4,45.2
247,Eric Gordon,SG,35,PHO,68,1893,,,93,103,103,103,102,100,42,163,,22.5,-0.5
248,Devonte' Graham,PG,28,SAS,23,313,,,74,95,82,86,104,85,61,195,,-17.1,-19.4
249,Jerami Grant,PF,29,POR,54,1830,,,95,87,110,94,104,99,150,82,,-52.1,-13.2
250,RaiQuan Gray,PF,24,SAS,3,39,,,124,128,117,124,,117,,104,,4.4,3.3
251,A.J. Green,SG,24,MIL,56,614,,,89,95,112,110,114,106,40,218,,20.8,14.9
252,Danny Green,SG,36,PHI,2,18,,,,,,,,,,127,,-2.2,-2.3
253,Draymond Green,PF,33,GSW,55,1490,,,105,101,108,104,93,101,81,88,,14.4,5.7
254,Javonte Green,SF,30,CHI,9,230,,,126,134,101,122,98,117,71,91,,18,16.4
255,Jalen Green,SG,21,HOU,82,2601,,,89,91,91,91,103,93,108,115,,-129,-114.8
256,Jeff Green,PF,37,HOU,78,1307,,,96,101,91,97,104,102,167,111,,-13.1,8.4
